cloudBaseAvg,cloudBaseMax,cloudBaseMin,cloudCeilingAvg,cloudCeilingMax,cloudCeilingMin,cloudCoverAvg,cloudCoverMax,cloudCoverMin,dewPointAvg,dewPointMax,dewPointMin,evapotranspirationAvg,evapotranspirationMax,evapotranspirationMin,evapotranspirationSum,freezingRainIntensityAvg,freezingRainIntensityMax,freezingRainIntensityMin,humidityAvg,humidityMax,humidityMin,iceAccumulationAvg,iceAccumulationLweAvg,iceAccumulationLweMax,iceAccumulationLweMin,iceAccumulationLweSum,iceAccumulationMax,iceAccumulationMin,iceAccumulationSum,moonriseTime,moonsetTime,precipitationProbabilityAvg,precipitationProbabilityMax,precipitationProbabilityMin,pressureSurfaceLevelAvg,pressureSurfaceLevelMax,pressureSurfaceLevelMin,rainAccumulationAvg,rainAccumulationLweAvg,rainAccumulationLweMax,rainAccumulationLweMin,rainAccumulationMax,rainAccumulationMin,rainAccumulationSum,rainIntensityAvg,rainIntensityMax,rainIntensityMin,sleetAccumulationAvg,sleetAccumulationLweAvg,sleetAccumulationLweMax,sleetAccumulationLweMin,sleetAccumulationLweSum,sleetAccumulationMax,sleetAccumulationMin,sleetIntensityAvg,sleetIntensityMax,sleetIntensityMin,snowAccumulationAvg,snowAccumulationLweAvg,snowAccumulationLweMax,snowAccumulationLweMin,snowAccumulationLweSum,snowAccumulationMax,snowAccumulationMin,snowAccumulationSum,snowIntensityAvg,snowIntensityMax,snowIntensityMin,sunriseTime,sunsetTime,temperatureApparentAvg,temperatureApparentMax,temperatureApparentMin,temperatureAvg,temperatureMax,temperatureMin,uvHealthConcernAvg,uvHealthConcernMax,uvHealthConcernMin,uvIndexAvg,uvIndexMax,uvIndexMin,visibilityAvg,visibilityMax,visibilityMin,weatherCodeMax,weatherCodeMin,windDirectionAvg,windGustAvg,windGustMax,windGustMin,windSpeedAvg,windSpeedMax,windSpeedMin
0.45,1.2,0,0.05,0.76,0,43.67,100,1.9,6.55,7.62,4.84,0.165,0.489,0,3.804,0,0,0,75.13,99.23,45.75,0,0,0,0,0,0,0,0,2023-10-27T22:09:12Z,2023-10-27T09:12:14Z,0,0,0,954.23,955.95,948.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27T09:54:00Z,2023-10-27T23:03:00Z,11.38,16.58,6.82,11.38,16.58,6.82,1,3,0,2,8,0,11.22,16,1.4,1100,1100,232.3,3.74,6.9,0.88,3.15,6.57,0.34
0.45,1.2,0,0.05,0.76,0,43.67,100,1.9,6.55,7.62,4.84,0.165,0.489,0,3.804,0,0,0,75.13,99.23,45.75,0,0,0,0,0,0,0,0,2023-10-27T22:09:12Z,2023-10-27T09:12:14Z,0,0,0,954.23,955.95,948.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27T09:54:00Z,2023-10-27T23:03:00Z,11.38,16.58,6.82,11.38,16.58,6.82,1,3,0,2,8,0,11.22,16,1.4,1100,1100,232.3,3.74,6.9,0.88,3.15,6.57,0.34
0.45,1.2,0,0.05,0.76,0,43.67,100,1.9,6.55,7.62,4.84,0.165,0.489,0,3.804,0,0,0,75.13,99.23,45.75,0,0,0,0,0,0,0,0,2023-10-27T22:09:12Z,2023-10-27T09:12:14Z,0,0,0,954.23,955.95,948.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27T09:54:00Z,2023-10-27T23:03:00Z,11.38,16.58,6.82,11.38,16.58,6.82,1,3,0,2,8,0,11.22,16,1.4,1100,1100,232.3,3.74,6.9,0.88,3.15,6.57,0.34
0.45,1.2,0,0.05,0.76,0,43.67,100,1.9,6.55,7.62,4.84,0.165,0.489,0,3.804,0,0,0,75.13,99.23,45.75,0,0,0,0,0,0,0,0,2023-10-27T22:09:12Z,2023-10-27T09:12:14Z,0,0,0,954.23,955.95,948.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27T09:54:00Z,2023-10-27T23:03:00Z,11.38,16.58,6.82,11.38,16.58,6.82,1,3,0,2,8,0,11.22,16,1.4,1100,1100,232.3,3.74,6.9,0.88,3.15,6.57,0.34
0.45,1.2,0,0.05,0.76,0,43.67,100,1.9,6.55,7.62,4.84,0.165,0.489,0,3.804,0,0,0,75.13,99.23,45.75,0,0,0,0,0,0,0,0,2023-10-27T22:09:12Z,2023-10-27T09:12:14Z,0,0,0,954.23,955.95,948.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27T09:54:00Z,2023-10-27T23:03:00Z,11.38,16.58,6.82,11.38,16.58,6.82,1,3,0,2,8,0,11.22,16,1.4,1100,1100,232.3,3.74,6.9,0.88,3.15,6.57,0.34
0.45,1.2,0,0.05,0.76,0,43.67,100,1.9,6.55,7.62,4.84,0.165,0.489,0,3.804,0,0,0,75.13,99.23,45.75,0,0,0,0,0,0,0,0,2023-10-27T22:09:12Z,2023-10-27T09:12:14Z,0,0,0,954.23,955.95,948.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-27T09:54:00Z,2023-10-27T23:03:00Z,11.38,16.58,6.82,11.38,16.58,6.82,1,3,0,2,8,0,11.22,16,1.4,1100,1100,232.3,3.74,6.9,0.88,3.15,6.57,0.34
